,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,laser,50,20,10,0.4243243243243243,0.028653747633942853,106.65063190460205,0.7560062408447266
0,cornell,laser,50,20,10,0.4243243243243243,0.028653747633942853,106.65063190460205,0.7560062408447266
1,wisconsin,laser,50,20,10,0.5058823529411764,0.022044657760870893,120.39334177970886,0.782289981842041
0,cornell,laser,50,20,10,0.4243243243243243,0.028653747633942853,106.65063190460205,0.7560062408447266
1,wisconsin,laser,50,20,10,0.5058823529411764,0.022044657760870893,120.39334177970886,0.782289981842041
2,texas,laser,50,20,10,0.47837837837837843,0.03901639444890505,98.57104277610779,0.4144124984741211
0,cornell,laser,50,20,10,0.4243243243243243,0.028653747633942853,106.65063190460205,0.7560062408447266
1,wisconsin,laser,50,20,10,0.5058823529411764,0.022044657760870893,120.39334177970886,0.782289981842041
2,texas,laser,50,20,10,0.47837837837837843,0.03901639444890505,98.57104277610779,0.4144124984741211
3,chameleon,laser,50,20,10,0.3879385964912281,0.012350210558165592,1132.4987797737122,6.070624828338623
0,cornell,laser,50,20,10,0.4243243243243243,0.028653747633942853,106.65063190460205,0.7560062408447266
1,wisconsin,laser,50,20,10,0.5058823529411764,0.022044657760870893,120.39334177970886,0.782289981842041
2,texas,laser,50,20,10,0.47837837837837843,0.03901639444890505,98.57104277610779,0.4144124984741211
3,chameleon,laser,50,20,10,0.3879385964912281,0.012350210558165592,1132.4987797737122,6.070624828338623
4,cora,laser,50,20,10,0.8044280442804428,0.008084465793434177,425.84253907203674,32.35777425765991
0,cornell,laser,50,20,10,0.4243243243243243,0.028653747633942853,106.65063190460205,0.7560062408447266
1,wisconsin,laser,50,20,10,0.5058823529411764,0.022044657760870893,120.39334177970886,0.782289981842041
2,texas,laser,50,20,10,0.47837837837837843,0.03901639444890505,98.57104277610779,0.4144124984741211
3,chameleon,laser,50,20,10,0.3879385964912281,0.012350210558165592,1132.4987797737122,6.070624828338623
4,cora,laser,50,20,10,0.8044280442804428,0.008084465793434177,425.84253907203674,32.35777425765991
5,citeseer,laser,50,20,10,0.7093093093093092,0.006273330055504854,324.5149567127228,29.99058723449707
0,cornell,laser,50,20,10,0.427027027027027,0.02625936821944026,88.04499316215515,0.07978558540344238
0,cornell,laser,50,20,10,0.427027027027027,0.02625936821944026,88.04499316215515,0.07978558540344238
1,wisconsin,laser,50,20,10,0.4607843137254902,0.041594516540385144,95.73064494132996,0.09773778915405273
0,cornell,laser,50,20,10,0.427027027027027,0.02625936821944026,88.04499316215515,0.07978558540344238
1,wisconsin,laser,50,20,10,0.4607843137254902,0.041594516540385144,95.73064494132996,0.09773778915405273
2,texas,laser,50,20,10,0.4594594594594595,0.032432432432432434,147.53221917152405,0.3700106143951416
0,cornell,laser,50,20,10,0.427027027027027,0.02625936821944026,88.04499316215515,0.07978558540344238
1,wisconsin,laser,50,20,10,0.4607843137254902,0.041594516540385144,95.73064494132996,0.09773778915405273
2,texas,laser,50,20,10,0.4594594594594595,0.032432432432432434,147.53221917152405,0.3700106143951416
3,chameleon,laser,50,20,10,0.39978070175438596,0.010600070558485698,1300.0759119987488,12.087684869766235
0,cornell,laser,50,20,10,0.427027027027027,0.02625936821944026,88.04499316215515,0.07978558540344238
1,wisconsin,laser,50,20,10,0.4607843137254902,0.041594516540385144,95.73064494132996,0.09773778915405273
2,texas,laser,50,20,10,0.4594594594594595,0.032432432432432434,147.53221917152405,0.3700106143951416
3,chameleon,laser,50,20,10,0.39978070175438596,0.010600070558485698,1300.0759119987488,12.087684869766235
4,cora,laser,50,20,10,0.8029520295202952,0.011079946430014044,306.8083302974701,22.426902532577515
0,cornell,laser,50,20,10,0.427027027027027,0.02625936821944026,88.04499316215515,0.07978558540344238
1,wisconsin,laser,50,20,10,0.4607843137254902,0.041594516540385144,95.73064494132996,0.09773778915405273
2,texas,laser,50,20,10,0.4594594594594595,0.032432432432432434,147.53221917152405,0.3700106143951416
3,chameleon,laser,50,20,10,0.39978070175438596,0.010600070558485698,1300.0759119987488,12.087684869766235
4,cora,laser,50,20,10,0.8029520295202952,0.011079946430014044,306.8083302974701,22.426902532577515
5,citeseer,laser,50,20,10,0.713063063063063,0.00592208638430571,213.11570930480957,24.23821711540222
0,cornell,laser,50,20,10,0.4378378378378378,0.05001095570257459,220.98783206939697,1.3449630737304688
0,cornell,laser,50,20,10,0.4378378378378378,0.05001095570257459,220.98783206939697,1.3449630737304688
1,wisconsin,laser,50,20,10,0.45882352941176474,0.037696046559052274,235.29310488700867,1.486086368560791
0,cornell,laser,50,20,10,0.4378378378378378,0.05001095570257459,220.98783206939697,1.3449630737304688
1,wisconsin,laser,50,20,10,0.45882352941176474,0.037696046559052274,235.29310488700867,1.486086368560791
2,texas,laser,50,20,10,0.47297297297297297,0.028856968248733267,231.55636191368103,1.0547215938568115
0,cora,laser,50,20,10,0.8044280442804428,0.007343080716654022,287.1357090473175,18.799354076385498
0,cora,laser,50,20,10,0.8038745387453874,0.00590521206453278,298.11276364326477,20.791106700897217
0,cora,laser,50,20,10,0.8071955719557196,0.007935724416090976,303.6471812725067,17.952080965042114
