,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,65.99999999999999,0.06752777206453651,74.44444444444444,0.04499657051403687,68.06666666666665,0.021618921753357116,0.0,0.0,False,16.931825637817383,142.53674721717834
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,63.000000000000014,0.0737563556583431,73.33333333333333,0.05621826951410452,69.06666666666666,0.024162413418825163,0.0,0.0,False,76.79876470565796,120.90829229354858
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,65.99999999999999,0.0644980619863884,66.11111111111111,0.055444333110553995,66.6,0.010232844722319948,0.0,0.0,False,76.87458896636963,127.16662836074829
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,68.0,0.04289522117905443,70.0,0.06885303726590963,67.66666666666667,0.019436506316151004,0.0,0.0,False,34.32319951057434,125.29760003089905
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,70.50000000000001,0.03591656999213595,71.1111111111111,0.07166451331820932,67.06666666666666,0.01656770620480967,0.0,0.0,False,83.2523353099823,136.74897265434265
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,63.5,0.05665686189686117,73.33333333333333,0.03442651863295483,70.19999999999999,0.022943408639519967,0.0,0.0,False,78.23184084892273,134.29168891906738
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,61.00000000000001,0.06752777206453651,67.77777777777779,0.09269623828717426,67.06666666666668,0.011955472944778613,0.0,0.0,False,16.9426589012146,173.49810767173767
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,65.00000000000001,0.04898979485566355,67.77777777777779,0.08999314102807371,67.26666666666668,0.014781369655376629,0.0,0.0,False,18.761201858520508,140.29664134979248
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,72.00000000000001,0.04289522117905444,72.77777777777777,0.08670939117834077,69.93333333333334,0.01981694000372184,0.0,0.0,False,10.510887145996094,139.62407159805298
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,70.0,0.06928203230275509,80.55555555555556,0.05719794522770555,73.13333333333333,0.027651803236357346,0.0,0.0,False,84.72439694404602,219.2195417881012
0,mutag,sper,GCN,10,4,2,False,0.1,0.001,67.0,0.05513619500836087,73.33333333333333,0.08285045281025444,70.53333333333333,0.024206518864875133,0.0,0.0,False,19.209622383117676,150.37671852111816
