,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,delaunay,GIN,10,4,2,False,0.1,0.001,74.54999999999998,0.02874352100909003,80.7222222222222,0.030649552390343237,87.06,0.03515810385482509,0.0,0.0,False,347.840215921402,604.7849349975586
0,proteins,delaunay,GIN,10,4,2,False,0.1,0.001,74.35714285714286,0.008575445487327318,76.14414414414414,0.0076294339446888485,77.69999999999999,0.0058428223841263515,0.0,0.0,False,2379.086812019348,2936.0285885334015
0,imdb,delaunay,GIN,10,4,2,False,0.1,0.001,50.17,0.010575651280181281,57.860000000000014,0.00799509849845516,60.30875,0.011791440486641148,0.0,0.0,False,1844.535727739334,2023.4905891418457
