,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,goku,50,4,2,0.3513513513513513,0.07371990106478842,62.10698437690735,1.5457446575164795
0,cornell,goku,50,4,2,0.41891891891891897,0.0680523152000766,63.70474696159363,1.6161231994628906
0,cornell,goku,50,20,10,0.34054054054054056,0.055230442267869405,65.32495212554932,1.5552263259887695
0,cornell,goku,50,20,10,0.34054054054054056,0.055230442267869405,65.32495212554932,1.5552263259887695
1,wisconsin,goku,50,20,10,0.41568627450980394,0.05342552585388674,68.73817896842957,2.0438506603240967
0,cornell,goku,50,20,10,0.38378378378378375,0.07482143339674929,56.39718270301819,1.468409538269043
0,cornell,goku,50,20,10,0.4,0.06294454758058221,56.55145454406738,1.3930835723876953
0,cornell,goku,50,20,10,0.4243243243243243,0.06306048900795626,67.09793472290039,3.4707515239715576
0,cornell,goku,50,20,10,0.3486486486486487,0.0831976006846267,76.41663646697998,4.952951192855835
0,cornell,goku,50,20,10,0.36486486486486486,0.07302300587084483,78.626140832901,3.2824933528900146
0,cornell,goku,50,20,10,0.35945945945945945,0.036701070695714495,93.16002464294434,2.7398970127105713
0,cornell,goku,50,20,10,0.36756756756756753,0.07379912720378816,65.93843626976013,2.7761306762695312
0,cornell,goku,50,20,10,0.35945945945945945,0.0374887370473507,76.44215512275696,2.5538763999938965
0,cornell,goku,50,20,10,0.36756756756756753,0.06629063661299844,74.56767082214355,3.28776216506958
0,cornell,goku,50,20,10,0.3702702702702704,0.03507270961623424,80.84644842147827,4.792565584182739
0,cornell,goku,50,20,10,0.4243243243243244,0.07173117577311841,70.91673469543457,2.5594992637634277
0,cornell,goku,50,20,10,0.39729729729729735,0.039758217402017924,76.73191356658936,3.856151819229126
0,cornell,goku,50,20,10,0.35945945945945945,0.039016394448905055,94.27372694015503,2.942761182785034
0,cornell,goku,50,20,10,0.39459459459459467,0.03760546406686721,80.67946076393127,7.081354379653931
0,cornell,goku,50,20,10,0.32972972972972975,0.07750680358458345,60.103673458099365,3.350292921066284
0,cornell,goku,50,20,10,0.38648648648648654,0.03336497159353722,85.45722603797913,2.250781774520874
0,cornell,goku,50,20,10,0.37027027027027026,0.07173117577311842,73.60626244544983,3.5947697162628174
0,cornell,goku,50,20,10,0.3486486486486487,0.052657638391167806,91.65382361412048,4.021095037460327
0,cornell,goku,50,20,10,0.3297297297297298,0.04378044698663046,83.25375628471375,2.9900028705596924
0,cornell,goku,50,20,10,0.3702702702702703,0.039016394448905055,102.23890709877014,3.303870439529419
0,cornell,goku,50,20,10,0.3756756756756757,0.03193309294646903,81.1369240283966,3.3721001148223877
0,cornell,goku,50,20,10,0.4297297297297297,0.04354623580783314,70.25239706039429,5.045168876647949
0,cornell,goku,50,20,10,0.33783783783783783,0.07140456656012381,58.44051194190979,2.528916835784912
0,cornell,goku,50,20,10,0.37567567567567567,0.06089183790979002,69.0604567527771,5.328436374664307
0,cornell,goku,50,20,10,0.3783783783783784,0.061631104059412856,88.65978121757507,2.0362648963928223
0,cornell,goku,50,20,10,0.4027027027027027,0.05375593466141327,74.56369066238403,3.886395215988159
0,cornell,goku,50,20,10,0.4351351351351351,0.05375593466141327,68.08200335502625,4.016374826431274
0,cornell,goku,50,20,10,0.3702702702702703,0.06924406607524271,71.56734585762024,3.650089740753174
0,cornell,goku,50,20,10,0.3891891891891892,0.05307216306436141,80.72584295272827,4.065308094024658
0,cornell,goku,50,20,10,0.4135135135135135,0.039758217402017924,72.60338044166565,1.824122428894043
0,cornell,goku,50,20,10,0.38378378378378375,0.04882849639194038,71.32587051391602,4.805872201919556
0,cornell,goku,50,20,10,0.4,0.07080874764892028,78.03425669670105,2.2799935340881348
0,cornell,goku,50,20,10,0.3864864864864865,0.08127903762738156,67.43722081184387,2.2637269496917725
0,cornell,goku,50,20,10,0.32432432432432434,0.047739247926096476,88.01674675941467,2.8214216232299805
0,cornell,goku,50,20,10,0.33513513513513515,0.05881716976750462,91.11040687561035,1.8732588291168213
0,cornell,goku,50,20,10,0.3918918918918919,0.051987524491003634,98.99765372276306,4.814917325973511
0,cornell,goku,50,20,10,0.3567567567567568,0.03314531830649922,85.52254939079285,3.572650909423828
0,cornell,goku,50,20,10,0.3540540540540541,0.03193309294646904,82.93677520751953,2.35489559173584
0,cornell,goku,50,20,10,0.3918918918918919,0.04341183352488921,98.1744270324707,1.8567132949829102
0,cornell,goku,50,20,10,0.3864864864864865,0.06533612591737002,72.10146951675415,2.0266976356506348
0,cornell,goku,50,20,10,0.35945945945945945,0.03589612479110052,73.50142335891724,3.570976495742798
0,cornell,goku,50,20,10,0.38108108108108113,0.0486186093443651,89.46528196334839,2.751349925994873
0,cornell,goku,50,20,10,0.3621621621621622,0.039868300355861135,76.91233158111572,4.8511223793029785
0,cornell,goku,50,20,10,0.4027027027027027,0.0455146690486938,89.67267441749573,4.931330919265747
0,cornell,goku,50,20,10,0.32972972972972975,0.08776088104909147,74.34758114814758,2.3627467155456543
0,cornell,goku,50,20,10,0.38918918918918927,0.06404892213448053,76.56701850891113,4.914515972137451
0,cornell,goku,50,20,10,0.3621621621621622,0.04337816788700298,98.80520534515381,2.935211181640625
0,cornell,goku,50,20,10,0.33513513513513515,0.06312995165689268,89.58431339263916,5.26076078414917
0,cornell,goku,50,20,10,0.3783783783783784,0.04187009022926938,104.61990976333618,3.691650390625
0,cornell,goku,50,20,10,0.40540540540540543,0.03243243243243243,103.8529703617096,6.669787645339966
