,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,fosr,50,20,10,0.3945945945945946,0.05627855171814213,67.9581823348999,4.557670593261719
0,cornell,fosr,50,20,10,0.3945945945945946,0.05627855171814213,67.9581823348999,4.557670593261719
1,wisconsin,fosr,50,20,10,0.41764705882352937,0.06051172274034369,76.79559707641602,0.00496220588684082
0,cornell,fosr,50,20,10,0.3945945945945946,0.05627855171814213,67.9581823348999,4.557670593261719
1,wisconsin,fosr,50,20,10,0.41764705882352937,0.06051172274034369,76.79559707641602,0.00496220588684082
2,texas,fosr,50,20,10,0.4378378378378378,0.07559841616020363,74.86464929580688,0.003962278366088867
0,cornell,fosr,50,20,10,0.3945945945945946,0.05627855171814213,67.9581823348999,4.557670593261719
1,wisconsin,fosr,50,20,10,0.41764705882352937,0.06051172274034369,76.79559707641602,0.00496220588684082
2,texas,fosr,50,20,10,0.4378378378378378,0.07559841616020363,74.86464929580688,0.003962278366088867
3,chameleon,fosr,50,20,10,0.2914473684210527,0.014027547316550643,298.84626936912537,0.7779941558837891
0,cornell,fosr,50,20,10,0.3945945945945946,0.05627855171814213,67.9581823348999,4.557670593261719
1,wisconsin,fosr,50,20,10,0.41764705882352937,0.06051172274034369,76.79559707641602,0.00496220588684082
2,texas,fosr,50,20,10,0.4378378378378378,0.07559841616020363,74.86464929580688,0.003962278366088867
3,chameleon,fosr,50,20,10,0.2914473684210527,0.014027547316550643,298.84626936912537,0.7779941558837891
4,cora,fosr,50,20,10,0.7302583025830257,0.00882219837772316,115.24051570892334,1.0663471221923828
0,cornell,fosr,50,20,10,0.3945945945945946,0.05627855171814213,67.9581823348999,4.557670593261719
1,wisconsin,fosr,50,20,10,0.41764705882352937,0.06051172274034369,76.79559707641602,0.00496220588684082
2,texas,fosr,50,20,10,0.4378378378378378,0.07559841616020363,74.86464929580688,0.003962278366088867
3,chameleon,fosr,50,20,10,0.2914473684210527,0.014027547316550643,298.84626936912537,0.7779941558837891
4,cora,fosr,50,20,10,0.7302583025830257,0.00882219837772316,115.24051570892334,1.0663471221923828
5,citeseer,fosr,50,20,10,0.5644144144144143,0.016625086785570318,172.45692324638367,1.0081055164337158
