,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,68.10000000000001,0.032427765880491975,77.05555555555556,0.03133471234160072,87.03999999999999,0.038503711797984126,0.0,0.0,False,53.2033371925354,1358.7226912975311
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,68.39999999999999,0.03091536834650365,74.55555555555557,0.0304363330637968,85.85333333333335,0.040651835546913914,0.0,0.0,False,67.02028107643127,1412.3587718009949
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,66.04999999999998,0.03389085422352171,70.94444444444443,0.033290898915728964,82.58666666666666,0.04199271047852631,0.0,0.0,False,99.41067862510681,1303.3297474384308
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,72.40000000000002,0.03176413071374691,77.33333333333333,0.036436313456105915,87.6,0.03969214867787667,0.0,0.0,False,90.86839628219604,1370.5539064407349
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,70.2,0.028492806109613,77.0,0.030429842402516238,86.86666666666667,0.03613136526005564,0.0,0.0,False,91.59400463104248,1401.1385488510132
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,71.54999999999998,0.027917557199726484,77.66666666666664,0.025433525070875724,85.94,0.03324366338951764,0.0,0.0,False,79.28836393356323,1304.5227682590485
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,69.44999999999999,0.029829347964714214,75.16666666666666,0.032143774237357724,87.74666666666667,0.03547858446380796,0.0,0.0,False,98.53146195411682,1345.5777673721313
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,69.4,0.02943739118875856,75.44444444444443,0.03103880486435338,89.24000000000001,0.036614518067746474,0.0,0.0,False,98.97262263298035,1425.792119026184
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,70.17999999999999,0.011082887710339755,70.87000000000002,0.009970576713510608,70.72125,0.005489405136260213,0.0,0.0,False,258.690057516098,6437.413674592972
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,69.60999999999999,0.012309004833860453,70.54,0.01322246573071755,70.31375,0.00922628683436625,0.0,0.0,False,288.77232480049133,6739.03638958931
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,71.45000000000002,0.02930170643495017,75.77777777777777,0.031837550622333205,88.04000000000002,0.03620819796675885,0.0,0.0,False,88.03636479377747,1360.0757510662079
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,74.3,0.028320310732758563,79.55555555555556,0.03314316122222606,88.04666666666667,0.03641550585487817,0.0,0.0,False,78.61290717124939,1400.1760454177856
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,66.7,0.0318502747240899,72.33333333333333,0.037547665180325485,82.65333333333334,0.045038247449621455,0.0,0.0,False,93.22232985496521,1325.8596744537354
0,mutag,goku,GIN,10,4,2,False,0.1,0.001,72.85000000000001,0.030405756034014346,79.66666666666667,0.028206469794563177,89.92000000000003,0.035175385333118,0.0,0.0,False,100.54610252380371,1454.5459365844727
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,70.02,0.013948419265278771,69.99999999999999,0.0118490505948789,70.7725,0.009977999549007808,0.0,0.0,False,226.23285126686096,4535.846105098724
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,70.31999999999998,0.011509578619567268,71.44999999999999,0.012481586437628834,71.135,0.00877351696869619,0.0,0.0,False,310.6461741924286,4516.586759567261
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,68.66,0.011782088100162891,69.95,0.014075155416548694,69.93249999999999,0.00996847656364803,0.0,0.0,False,201.28885555267334,3837.030877828598
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,69.92,0.010879999999999999,70.83999999999999,0.013129265021317832,70.23125,0.008642581717866487,0.0,0.0,False,171.6943817138672,4034.359508037567
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,71.33000000000001,0.011085323630819264,72.66999999999997,0.010028180293552765,71.6125,0.006500336529749825,0.0,0.0,False,191.3810362815857,4067.6240203380585
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,69.42,0.011590271782835808,70.68,0.011544279968885022,70.86625,0.008224069476238636,0.0,0.0,False,154.0838406085968,3737.804110765457
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,70.55000000000001,0.012215973149937748,71.11,0.012079387401685565,71.11,0.007803547270312393,0.0,0.0,False,170.05676579475403,3968.946044921875
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,69.53999999999999,0.011424254899117052,70.30000000000001,0.012653853168106544,70.37125000000002,0.009516200331539893,0.0,0.0,False,153.47494554519653,3833.4257333278656
0,imdb,goku,GIN,10,4,2,False,0.1,0.001,69.94999999999999,0.012713378779852347,70.69000000000001,0.013373690590110121,70.66874999999999,0.009308959058348039,0.0,0.0,False,188.6585557460785,3887.0067632198334
