,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,74.80000000000001,0.02668032983304367,80.0,0.02449489742783178,81.32666666666668,0.02326694937746101,0.0,0.0,False,1.1524581909179688,2232.3883907794952
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,76.05,0.024384216206390558,77.44444444444446,0.028320040454738495,80.02666666666667,0.024740372762843417,0.0,0.0,False,1.0592131614685059,1355.4306962490082
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,75.64999999999999,0.025046157389907137,77.0,0.028415784172242314,81.06000000000002,0.022066642497469143,0.0,0.0,False,0.9599719047546387,1379.806025505066
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,75.2,0.025016794358990124,80.1111111111111,0.02630213810958726,81.58666666666666,0.0221219086980406,0.0,0.0,False,1.1210501194000244,1399.5723133087158
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,74.45,0.02576412234096089,79.72222222222221,0.02759383541819476,79.91333333333334,0.02420479658616816,0.0,0.0,False,1.069185495376587,1409.522160768509
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,74.80000000000001,0.02668032983304367,80.0,0.02449489742783178,81.32666666666668,0.02326694937746101,0.0,0.0,False,1.1524581909179688,2232.3883907794952
1,enzymes,laser,GIN,10,4,2,False,0.1,0.001,35.31666666666667,0.013095334198781557,40.300000000000004,0.012123255888305476,56.91041666666666,0.016448684407878948,0.0,0.0,False,11.675741910934448,3696.242718935013
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,74.80000000000001,0.02668032983304367,80.0,0.02449489742783178,81.32666666666668,0.02326694937746101,0.0,0.0,False,1.1524581909179688,2232.3883907794952
1,enzymes,laser,GIN,10,4,2,False,0.1,0.001,35.31666666666667,0.013095334198781557,40.300000000000004,0.012123255888305476,56.91041666666666,0.016448684407878948,0.0,0.0,False,11.675741910934448,3696.242718935013
2,imdb,laser,GIN,10,4,2,False,0.1,0.001,68.61999999999999,0.012441157502419137,69.78,0.010909005454210753,69.6425,0.00833291815632435,0.0,0.0,False,3.0749270915985107,3007.3786282539368
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,74.80000000000001,0.02668032983304367,80.0,0.02449489742783178,81.32666666666668,0.02326694937746101,0.0,0.0,False,1.1524581909179688,2232.3883907794952
1,enzymes,laser,GIN,10,4,2,False,0.1,0.001,35.31666666666667,0.013095334198781557,40.300000000000004,0.012123255888305476,56.91041666666666,0.016448684407878948,0.0,0.0,False,11.675741910934448,3696.242718935013
2,imdb,laser,GIN,10,4,2,False,0.1,0.001,68.61999999999999,0.012441157502419137,69.78,0.010909005454210753,69.6425,0.00833291815632435,0.0,0.0,False,3.0749270915985107,3007.3786282539368
3,proteins,laser,GIN,10,4,2,False,0.1,0.001,72.125,0.007802488483209201,73.54954954954954,0.006849312026576068,74.6820224719101,0.0019872221535067363,0.0,0.0,False,9.728827953338623,4009.0056343078613
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,76.64999999999999,0.025101991952831155,78.38888888888887,0.025136417926443687,82.62,0.019225219547944483,0.0,0.0,False,1.3379764556884766,2100.5699412822723
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,76.5,0.021794494717703367,80.16666666666666,0.025784242484390096,79.94666666666664,0.022576038428189994,0.0,0.0,False,1.1549532413482666,2135.2652900218964
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,72.95000000000002,0.02943110599348927,77.1111111111111,0.03027772680933528,78.97333333333331,0.027164303373688376,0.0,0.0,False,1.2960941791534424,2170.8856315612793
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,73.1,0.027704873217540626,80.05555555555554,0.03182106608700564,81.23333333333332,0.024833937352833207,0.0,0.0,False,1.3953111171722412,2179.0072724819183
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,73.04999999999998,0.026940489973272568,77.55555555555554,0.028756963729903114,80.08666666666667,0.0249605234987837,0.0,0.0,False,2.098982334136963,2083.025161743164
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,73.4,0.028770818549356564,76.22222222222223,0.03189798553955219,78.43333333333332,0.02818817719068286,0.0,0.0,False,2.0072333812713623,2111.1831579208374
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,72.64999999999999,0.028546628522471796,79.22222222222221,0.03000493786522972,79.66666666666666,0.027502565536893297,0.0,0.0,False,1.921952724456787,2114.131904363632
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,74.35000000000001,0.032852853757322206,77.38888888888889,0.03174959900592505,79.88666666666666,0.02865646640230904,0.0,0.0,False,2.2047040462493896,2165.8693523406982
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,73.44999999999999,0.02663437628329223,77.27777777777779,0.032814292279093535,79.83999999999999,0.026456585821555533,0.0,0.0,False,1.0896186828613281,1115.8893601894379
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,76.55000000000001,0.026483768614002045,76.8888888888889,0.03188404918752624,79.06666666666666,0.025920219477808787,0.0,0.0,False,1.1100730895996094,1126.235570192337
0,mutag,laser,GIN,10,4,2,False,0.1,0.001,73.69999999999999,0.026253380734678727,77.49999999999999,0.028474593397198884,80.18,0.0258583182404081,0.0,0.0,False,1.1175463199615479,1141.111632347107
