,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,73.74999999999999,0.01909842925478428,76.49999999999997,0.02071887074476482,74.67999999999999,0.008053112579755868,0.0,0.0,False,34.1898992061615,3652.747216939926
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,77.0,0.018220867158288596,80.16666666666666,0.016499532354016414,77.72,0.006848662480935805,0.0,0.0,False,32.15074348449707,2121.755416870117
0,imdb,goku,GCN,10,4,2,False,0.1,0.001,47.15,0.007251896303726357,50.63999999999999,0.009726335383894594,50.417500000000004,0.0021994942600516145,0.0,0.0,False,580.3994390964508,9911.478204965591
0,imdb,goku,GCN,10,4,2,False,0.1,0.001,46.76,0.0065429045537895485,50.71000000000001,0.010347154198135833,50.64999999999999,0.003047950130825635,0.0,0.0,False,582.4959118366241,9949.643047094345
0,imdb,goku,GCN,10,4,2,False,0.1,0.001,47.449999999999996,0.007991870869827665,49.85,0.010723339032223127,50.887499999999996,0.004314872535776693,0.0,0.0,False,797.6301515102386,9860.447069644928
0,imdb,goku,GCN,10,4,2,False,0.1,0.001,48.19,0.007598394567275379,51.41,0.01001636660670924,50.55,0.0034058772731852794,0.0,0.0,False,732.2695803642273,10000.801195144653
0,proteins,goku,GCN,10,4,2,False,0.1,0.001,71.58035714285714,0.008978627542727251,71.70270270270271,0.007171510698648922,72.26966292134833,0.0016897322424366263,0.0,0.0,False,348.54111313819885,14184.216226816177
0,proteins,goku,GCN,10,4,2,False,0.1,0.001,71.21428571428572,0.008261201424707657,71.93693693693692,0.00794990810492263,72.45505617977528,0.0018087793863057779,0.0,0.0,False,432.5845913887024,14094.54002571106
0,proteins,goku,GCN,10,4,2,False,0.1,0.001,71.85714285714285,0.008643595009825342,72.06306306306307,0.008537175754097067,72.09550561797752,0.0018954826397440338,0.0,0.0,False,525.839522600174,14332.53944516182
0,proteins,goku,GCN,10,4,2,False,0.1,0.001,71.56250000000001,0.008289157997415806,72.29729729729729,0.008883357990327726,72.10337078651686,0.0021610641377101847,0.0,0.0,False,600.6573960781097,14390.014669418335
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,71.8,0.01946894963782073,76.99999999999999,0.019310331143946986,74.37333333333335,0.007850423909290223,0.0,0.0,False,18.60835552215576,1520.3243086338043
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,73.55000000000001,0.020312311537587245,76.38888888888887,0.021851067154774594,74.47333333333334,0.008082452873011044,0.0,0.0,False,45.48451566696167,1871.4277606010437
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,72.04999999999998,0.0211232099833335,76.49999999999999,0.01713094089075288,74.90666666666665,0.006326016826478482,0.0,0.0,False,43.0015811920166,2829.7962143421173
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,73.49999999999999,0.020663978319771823,77.27777777777776,0.020372760802504143,74.20666666666665,0.010354936557560895,0.0,0.0,False,40.805809020996094,2710.174873113632
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,74.04999999999998,0.020673412877413345,78.33333333333331,0.018155705153742437,75.58,0.008023642841281289,0.0,0.0,False,42.3411660194397,1242.7604393959045
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,69.15,0.019081666593880105,74.88888888888889,0.019781522741571453,72.74666666666666,0.007227798189398116,0.0,0.0,False,44.33236050605774,1327.9464025497437
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,71.60000000000001,0.020682359633272022,79.16666666666669,0.015345808129925706,75.05333333333333,0.007125989989702017,0.0,0.0,False,46.75040125846863,1278.4165439605713
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,78.3,0.01924681791881453,81.0,0.018998375499103555,80.7,0.007106491555065849,0.0,0.0,False,53.75321912765503,1114.5771181583405
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,79.45,0.017994165721144175,82.38888888888887,0.015717804640472198,80.08000000000001,0.007301214510842242,0.0,0.0,False,51.006240367889404,1094.7936944961548
