,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,63.000000000000014,0.09402127418834524,66.11111111111111,0.07277565730583473,65.73333333333332,0.07376117617765533,0.0,0.0,False,18.12649154663086,170.1586434841156
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,70.0,0.05999999999999999,72.22222222222221,0.07370277311900889,68.13333333333333,0.020724649842907155,0.0,0.0,False,31.44591236114502,220.85282945632935
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,74.0,0.0644980619863884,79.44444444444444,0.07544108976341313,70.39999999999999,0.026005127699487776,0.0,0.0,False,17.07063627243042,178.20052313804626
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,68.5,0.05300943312279428,79.44444444444444,0.06095940766375646,71.13333333333334,0.02263134502803086,0.0,0.0,False,17.3476300239563,190.51397252082825
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,67.5,0.07648529270389177,70.55555555555554,0.09434635429046123,69.46666666666667,0.02907767375687249,0.0,0.0,False,16.856244564056396,165.20698475837708
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,73.50000000000001,0.06008327554319921,74.44444444444444,0.05488484015657097,70.93333333333335,0.019794499797222007,0.0,0.0,False,16.917752027511597,193.88126134872437
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,63.0,0.0635609943282828,72.22222222222221,0.05443310539518173,68.26666666666668,0.023109401646179507,0.0,0.0,False,17.561031579971313,168.3414535522461
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,67.0,0.07238784428341544,70.0,0.04499657051403685,66.8,0.015295605759679984,0.0,0.0,False,16.793349981307983,159.51464176177979
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,63.5,0.09386160024205852,67.77777777777779,0.06440611887195306,64.33333333333333,0.07585366027936805,0.0,0.0,False,9.823739767074585,213.9694983959198
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,60.50000000000001,0.08420213774008355,74.44444444444444,0.050184843513938725,66.93333333333334,0.0160222068115198,0.0,0.0,False,33.54928469657898,193.77690267562866
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,65.0,0.05999999999999999,85.0,0.052234041215747366,71.66666666666666,0.027276363393971707,0.0,0.0,False,31.269988298416138,185.4220325946808
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,68.5,0.05665686189686117,63.888888888888886,0.04230985058813281,66.53333333333333,0.00725411760465892,0.0,0.0,False,32.79030084609985,142.2050976753235
0,mutag,sper,R-GCN,10,4,2,False,0.1,0.001,69.5,0.060745370193949745,68.88888888888889,0.04766135686561603,65.93333333333334,0.010232844722319947,0.0,0.0,False,80.67620587348938,197.84232020378113
